,name,path,task,L2,1,2,3,4,scores,beta,integration,integration_1,integration_2,integration_3,integration_4
688,model_blocked_hs_128_bs_12_beta_0.7_21_weights.pth,./trained_models_graphwalk,blocked,128,47.76119402985074,50.0,50.0,,"{1: 47.76119402985074, 2: 50.0, 3: 50.0, 4: nan}",0.7,-0.006839534851035687,-0.015005062334239483,0.0014018253846602006,0.019413067744328424,
689,model_blocked_hs_256_bs_12_beta_0.8_10_weights.pth,./trained_models_graphwalk,blocked,256,47.76119402985074,50.0,50.0,,"{1: 47.76119402985074, 2: 50.0, 3: 50.0, 4: nan}",0.8,0.026035160729379364,0.023415750823915005,0.06564209677956322,-0.02809640535941491,
690,model_intermixed_hs_32_bs_12_beta_0.8_16_weights.pth,./trained_models_graphwalk,intermixed,32,47.76119402985074,50.0,50.0,,"{1: 47.76119402985074, 2: 50.0, 3: 50.0, 4: nan}",0.8,0.030468305177760845,0.07573838764801621,-0.05542435116049918,-0.04704299010336399,
691,model_blocked_hs_128_bs_12_beta_0.2_19_weights.pth,./trained_models_graphwalk,blocked,128,68.65671641791045,61.36363636363637,73.07692307692307,,"{1: 68.65671641791045, 2: 61.36363636363637, 3: 73.07692307692307, 4: nan}",0.2,0.4351899786481121,0.4070809215469205,0.4639088412988241,0.5304859766344491,
692,model_blocked_hs_128_bs_12_beta_0.5_10_weights.pth,./trained_models_graphwalk,blocked,128,47.76119402985074,50.0,50.0,,"{1: 47.76119402985074, 2: 50.0, 3: 50.0, 4: nan}",0.5,0.007285531723138058,0.000338234007358551,0.002894295887513594,0.04891893496880165,
693,model_blocked_hs_256_bs_12_beta_0_3_weights.pth,./trained_models_graphwalk,blocked,256,80.59701492537313,88.63636363636364,88.46153846153845,,"{1: 80.59701492537313, 2: 88.63636363636364, 3: 88.46153846153845, 4: nan}",0,0.42934259555357346,0.4418265452194545,0.4087317810895351,0.405671082518023,
694,model_blocked_hs_6_bs_12_beta_0.4_22_weights.pth,./trained_models_graphwalk,blocked,6,43.28358208955223,63.63636363636363,30.76923076923077,,"{1: 43.28358208955223, 2: 63.63636363636363, 3: 30.76923076923077, 4: nan}",0.4,0.16686123169641545,0.1800147706706976,0.1426230041044099,0.1563318707048893,
695,model_intermixed_hs_32_bs_12_beta_0.2_0_weights.pth,./trained_models_graphwalk,intermixed,32,67.16417910447761,63.63636363636363,69.23076923076923,,"{1: 67.16417910447761, 2: 63.63636363636363, 3: 69.23076923076923, 4: nan}",0.2,0.2858456748825334,0.26152470016645063,0.36018198133180185,0.29181629398630726,
696,model_blocked_hs_128_bs_12_beta_0.9_2_weights.pth,./trained_models_graphwalk,blocked,128,47.76119402985074,50.0,50.0,,"{1: 47.76119402985074, 2: 50.0, 3: 50.0, 4: nan}",0.9,-0.0049604580859945275,-0.018357585184276104,0.020296549255197697,0.018252001358912542,
697,model_blocked_hs_256_bs_12_beta_0.4_3_weights.pth,./trained_models_graphwalk,blocked,256,47.76119402985074,50.0,50.0,,"{1: 47.76119402985074, 2: 50.0, 3: 50.0, 4: nan}",0.4,0.0009811358018354936,-0.0008591124787926674,-0.0013430064374750311,0.013973983434530405,
698,model_blocked_hs_128_bs_12_beta_0_6_weights.pth,./trained_models_graphwalk,blocked,128,90.29850746268657,90.9090909090909,100.0,,"{1: 90.29850746268657, 2: 90.9090909090909, 3: 100.0, 4: nan}",0,0.3692421926593876,0.38460166235108023,0.342622005706653,0.3387157174830253,
699,model_intermixed_hs_64_bs_12_beta_0.2_7_weights.pth,./trained_models_graphwalk,intermixed,64,56.71641791044776,50.0,50.0,,"{1: 56.71641791044776, 2: 50.0, 3: 50.0, 4: nan}",0.2,0.11567240116094146,0.11659917000092958,0.0058698400177738886,0.29607408680021763,
700,model_blocked_hs_32_bs_12_beta_0.9_14_weights.pth,./trained_models_graphwalk,blocked,32,47.76119402985074,50.0,50.0,,"{1: 47.76119402985074, 2: 50.0, 3: 50.0, 4: nan}",0.9,-0.008269890277373671,-0.00218867021612823,-0.017165918241847645,-0.02315338786977988,
701,model_intermixed_hs_256_bs_12_beta_1_24_weights.pth,./trained_models_graphwalk,intermixed,256,55.223880597014926,56.81818181818182,15.384615384615385,,"{1: 55.223880597014926, 2: 56.81818181818182, 3: 15.384615384615385, 4: nan}",1,-0.05900102159351978,-0.06381705806062028,-0.03557263135910034,-0.1163317859172821,
702,model_blocked_hs_6_bs_12_beta_0.6_13_weights.pth,./trained_models_graphwalk,blocked,6,53.73134328358209,54.54545454545454,57.692307692307686,,"{1: 53.73134328358209, 2: 54.54545454545454, 3: 57.692307692307686, 4: nan}",0.6,0.32792247198354285,0.19109050694128704,0.7055039081024006,0.38058560639619826,
703,model_blocked_hs_32_bs_12_beta_1_8_weights.pth,./trained_models_graphwalk,blocked,32,58.2089552238806,59.09090909090909,53.84615384615385,,"{1: 58.2089552238806, 2: 59.09090909090909, 3: 53.84615384615385, 4: nan}",1,-0.04477127350993076,-0.005634365842128411,-0.12761697087150353,-0.10896346398762294,
704,model_intermixed_hs_32_bs_12_beta_0.1_10_weights.pth,./trained_models_graphwalk,intermixed,32,69.40298507462687,61.36363636363637,73.07692307692307,,"{1: 69.40298507462687, 2: 61.36363636363637, 3: 73.07692307692307, 4: nan}",0.1,0.4914840592888834,0.48582196550103285,0.48124681992663276,0.5337461742915606,
705,model_intermixed_hs_64_bs_12_beta_1_11_weights.pth,./trained_models_graphwalk,intermixed,64,44.02985074626866,36.36363636363637,42.30769230769231,,"{1: 44.02985074626866, 2: 36.36363636363637, 3: 42.30769230769231, 4: nan}",1,-0.051568879637607305,-0.023180651462684245,-0.08165749162435532,-0.16006775877692483,
706,model_intermixed_hs_32_bs_12_beta_0.6_19_weights.pth,./trained_models_graphwalk,intermixed,32,50.0,52.27272727272727,50.0,,"{1: 50.0, 2: 52.27272727272727, 3: 50.0, 4: nan}",0.6,0.07550625763471844,0.030687090398660348,0.1824130804642387,0.1173545099221743,
707,model_intermixed_hs_256_bs_12_beta_0.3_2_weights.pth,./trained_models_graphwalk,intermixed,256,63.43283582089553,56.81818181818182,73.07692307692307,,"{1: 63.43283582089553, 2: 56.81818181818182, 3: 73.07692307692307, 4: nan}",0.3,0.3405350177510923,0.350789491031045,0.4030933060287498,0.21234620534385995,
708,model_intermixed_hs_256_bs_12_beta_0.5_18_weights.pth,./trained_models_graphwalk,intermixed,256,50.0,52.27272727272727,50.0,,"{1: 50.0, 2: 52.27272727272727, 3: 50.0, 4: nan}",0.5,0.07382375291250284,0.05460262209621828,0.10739689287932022,0.11348787179360023,
709,model_blocked_hs_128_bs_12_beta_0_21_weights.pth,./trained_models_graphwalk,blocked,128,68.65671641791045,72.72727272727273,100.0,,"{1: 68.65671641791045, 2: 72.72727272727273, 3: 100.0, 4: nan}",0,0.31153850169153885,0.33447998560934694,0.33445497208231245,0.20215605657834274,
710,model_intermixed_hs_64_bs_12_beta_0.5_17_weights.pth,./trained_models_graphwalk,intermixed,64,70.1492537313433,65.9090909090909,100.0,,"{1: 70.1492537313433, 2: 65.9090909090909, 3: 100.0, 4: nan}",0.5,0.6034368399043111,0.6057755416754554,0.45056333880999994,0.7654942847215213,
711,model_intermixed_hs_256_bs_12_beta_0.2_11_weights.pth,./trained_models_graphwalk,intermixed,256,64.17910447761194,81.81818181818183,100.0,,"{1: 64.17910447761194, 2: 81.81818181818183, 3: 100.0, 4: nan}",0.2,0.38178617932607195,0.3636737058025806,0.3150730163583325,0.53406874047449,
712,model_intermixed_hs_6_bs_12_beta_1_0_weights.pth,./trained_models_graphwalk,intermixed,6,35.82089552238806,40.909090909090914,57.692307692307686,,"{1: 35.82089552238806, 2: 40.909090909090914, 3: 57.692307692307686, 4: nan}",1,0.4258621633052826,0.35236532396326464,0.4789854937957393,0.597304052611192,
713,model_intermixed_hs_128_bs_12_beta_0.8_18_weights.pth,./trained_models_graphwalk,intermixed,128,47.76119402985074,50.0,50.0,,"{1: 47.76119402985074, 2: 50.0, 3: 50.0, 4: nan}",0.8,0.022646221548619897,0.033019738271832466,-0.0030294643207029862,0.015027761459350586,
714,model_intermixed_hs_32_bs_12_beta_0.3_21_weights.pth,./trained_models_graphwalk,intermixed,32,63.43283582089553,52.27272727272727,80.76923076923077,,"{1: 63.43283582089553, 2: 52.27272727272727, 3: 80.76923076923077, 4: nan}",0.3,0.44657637900131386,0.3906391207019196,0.635040676727405,0.4665758127036194,
715,model_blocked_hs_256_bs_12_beta_0.1_16_weights.pth,./trained_models_graphwalk,blocked,256,62.68656716417911,52.27272727272727,53.84615384615385,,"{1: 62.68656716417911, 2: 52.27272727272727, 3: 53.84615384615385, 4: nan}",0.1,0.38970394431005334,0.3853644714469001,0.33739916000353254,0.5016700699925423,
716,model_blocked_hs_128_bs_12_beta_0.5_13_weights.pth,./trained_models_graphwalk,blocked,128,47.76119402985074,50.0,50.0,,"{1: 47.76119402985074, 2: 50.0, 3: 50.0, 4: nan}",0.5,-0.012724262295347271,-0.0016754716634750366,-0.016995695504275234,-0.059889729206378646,
717,model_intermixed_hs_32_bs_12_beta_0.8_15_weights.pth,./trained_models_graphwalk,intermixed,32,47.76119402985074,50.0,50.0,,"{1: 47.76119402985074, 2: 50.0, 3: 50.0, 4: nan}",0.8,0.0291587258830215,0.04075002623721957,0.016229172999208622,-0.006025355595808763,
718,model_intermixed_hs_128_bs_12_beta_0.8_8_weights.pth,./trained_models_graphwalk,intermixed,128,47.76119402985074,50.0,50.0,,"{1: 47.76119402985074, 2: 50.0, 3: 50.0, 4: nan}",0.8,0.020034608515826138,0.029734788928180933,0.018629126928069374,-0.02534161851956294,
719,model_intermixed_hs_256_bs_12_beta_0.5_9_weights.pth,./trained_models_graphwalk,intermixed,256,55.970149253731336,65.9090909090909,100.0,,"{1: 55.970149253731336, 2: 65.9090909090909, 3: 100.0, 4: nan}",0.5,0.46637389101088045,0.4247318490346273,0.4375134556843289,0.6186856514989183,
720,model_blocked_hs_256_bs_12_beta_0_0_weights.pth,./trained_models_graphwalk,blocked,256,80.59701492537313,88.63636363636364,65.38461538461539,,"{1: 80.59701492537313, 2: 88.63636363636364, 3: 65.38461538461539, 4: nan}",0,0.36542440842973384,0.3643369762985795,0.354908296933923,0.3964579977533397,
721,model_intermixed_hs_6_bs_12_beta_0.6_4_weights.pth,./trained_models_graphwalk,intermixed,6,64.17910447761194,88.63636363636364,69.23076923076923,,"{1: 64.17910447761194, 2: 88.63636363636364, 3: 69.23076923076923, 4: nan}",0.6,0.5087282827996708,0.37947450623695933,0.7393985248815554,0.6264885796440972,
722,model_intermixed_hs_64_bs_12_beta_0_1_weights.pth,./trained_models_graphwalk,intermixed,64,79.1044776119403,79.54545454545455,96.15384615384616,,"{1: 79.1044776119403, 2: 79.54545454545455, 3: 96.15384615384616, 4: nan}",0,0.5345126039878724,0.58955285283034,0.3816802919908826,0.5151071856915951,
723,model_intermixed_hs_128_bs_12_beta_0.6_14_weights.pth,./trained_models_graphwalk,intermixed,128,55.970149253731336,56.81818181818182,50.0,,"{1: 55.970149253731336, 2: 56.81818181818182, 3: 50.0, 4: nan}",0.6,0.1870605861191201,0.14729313691457113,0.28117998361587526,0.23548933634391198,
724,model_blocked_hs_256_bs_12_beta_0.8_13_weights.pth,./trained_models_graphwalk,blocked,256,47.76119402985074,50.0,50.0,,"{1: 47.76119402985074, 2: 50.0, 3: 50.0, 4: nan}",0.8,-0.07178637174644856,-0.050504738464951515,-0.06911006840792569,-0.18108661816670343,
725,model_intermixed_hs_128_bs_12_beta_0_21_weights.pth,./trained_models_graphwalk,intermixed,128,76.86567164179104,93.18181818181817,100.0,,"{1: 76.86567164179104, 2: 93.18181818181817, 3: 100.0, 4: nan}",0,0.3615304536679212,0.343288569100816,0.38167261047197915,0.4020337491081311,
726,model_blocked_hs_128_bs_12_beta_0.7_22_weights.pth,./trained_models_graphwalk,blocked,128,47.76119402985074,50.0,50.0,,"{1: 47.76119402985074, 2: 50.0, 3: 50.0, 4: nan}",0.7,0.014384517163941355,0.00680138636380434,0.028490036725997925,0.027845974151904766,
727,model_blocked_hs_64_bs_12_beta_0.2_7_weights.pth,./trained_models_graphwalk,blocked,64,56.71641791044776,47.72727272727273,26.923076923076923,,"{1: 56.71641791044776, 2: 47.72727272727273, 3: 26.923076923076923, 4: nan}",0.2,0.24243267176028055,0.24561419462981193,0.04945112285869462,0.7868350701672691,
728,model_intermixed_hs_6_bs_12_beta_1_13_weights.pth,./trained_models_graphwalk,intermixed,6,46.26865671641791,63.63636363636363,57.692307692307686,,"{1: 46.26865671641791, 2: 63.63636363636363, 3: 57.692307692307686, 4: nan}",1,0.3196596934947939,0.30034053693675705,0.47872684909296886,0.10258685015141963,
729,model_blocked_hs_6_bs_12_beta_0.4_0_weights.pth,./trained_models_graphwalk,blocked,6,48.507462686567166,36.36363636363637,26.923076923076923,,"{1: 48.507462686567166, 2: 36.36363636363637, 3: 26.923076923076923, 4: nan}",0.4,0.35030329737558286,0.27881096836466057,0.48257848515640944,0.7118173518351146,
730,model_intermixed_hs_6_bs_12_beta_0.9_9_weights.pth,./trained_models_graphwalk,intermixed,6,52.23880597014925,36.36363636363637,53.84615384615385,,"{1: 52.23880597014925, 2: 36.36363636363637, 3: 53.84615384615385, 4: nan}",0.9,0.3910610701702535,0.33530944271146185,0.3781492735724896,0.6845755464330848,
731,model_intermixed_hs_6_bs_12_beta_0.6_13_weights.pth,./trained_models_graphwalk,intermixed,6,49.25373134328358,54.54545454545454,42.30769230769231,,"{1: 49.25373134328358, 2: 54.54545454545454, 3: 42.30769230769231, 4: nan}",0.6,0.3421243406269736,0.23455222871747206,0.5743921586545184,0.48079086366024887,
732,model_blocked_hs_256_bs_12_beta_0.2_8_weights.pth,./trained_models_graphwalk,blocked,256,62.68656716417911,59.09090909090909,88.46153846153845,,"{1: 62.68656716417911, 2: 59.09090909090909, 3: 88.46153846153845, 4: nan}",0.2,0.42819953168203173,0.4132697238653366,0.34436520240986,0.5774950281028515,
733,model_blocked_hs_32_bs_12_beta_0.2_20_weights.pth,./trained_models_graphwalk,blocked,32,60.447761194029844,52.27272727272727,53.84615384615385,,"{1: 60.447761194029844, 2: 52.27272727272727, 3: 53.84615384615385, 4: nan}",0.2,0.3219175328457653,0.3032367262765794,0.3059388507643472,0.45625003427267075,
734,model_blocked_hs_256_bs_12_beta_1_24_weights.pth,./trained_models_graphwalk,blocked,256,58.95522388059702,43.18181818181818,30.76923076923077,,"{1: 58.95522388059702, 2: 43.18181818181818, 3: 30.76923076923077, 4: nan}",1,-0.007254827416168069,-0.023946421810343295,0.04678671140419809,0.029226012527942657,
735,model_blocked_hs_32_bs_12_beta_0.2_0_weights.pth,./trained_models_graphwalk,blocked,32,67.16417910447761,52.27272727272727,73.07692307692307,,"{1: 67.16417910447761, 2: 52.27272727272727, 3: 73.07692307692307, 4: nan}",0.2,0.3786070496408325,0.32750738544596564,0.4956748762532421,0.4789444057172851,
736,model_intermixed_hs_6_bs_12_beta_0.4_22_weights.pth,./trained_models_graphwalk,intermixed,6,48.507462686567166,47.72727272727273,30.76923076923077,,"{1: 48.507462686567166, 2: 47.72727272727273, 3: 30.76923076923077, 4: nan}",0.4,0.14488322961520642,0.1741864228477845,0.0694465757835479,0.1048160009086132,
737,model_intermixed_hs_128_bs_12_beta_0.7_5_weights.pth,./trained_models_graphwalk,intermixed,128,47.76119402985074,50.0,50.0,,"{1: 47.76119402985074, 2: 50.0, 3: 50.0, 4: nan}",0.7,0.009570102498988913,0.004457448609173298,0.021584074605594982,0.014408753468440129,
738,model_blocked_hs_32_bs_12_beta_0.7_18_weights.pth,./trained_models_graphwalk,blocked,32,47.76119402985074,50.0,50.0,,"{1: 47.76119402985074, 2: 50.0, 3: 50.0, 4: nan}",0.7,0.046408975666219536,0.059558053966611624,-0.010439015247605064,0.0778793440415309,
739,model_blocked_hs_6_bs_12_beta_1_20_weights.pth,./trained_models_graphwalk,blocked,6,35.82089552238806,31.818181818181817,50.0,,"{1: 35.82089552238806, 2: 31.818181818181817, 3: 50.0, 4: nan}",1,0.13569751188158988,0.12123368727043271,0.10728862642177514,0.2196965870948938,
740,model_blocked_hs_64_bs_12_beta_0.4_16_weights.pth,./trained_models_graphwalk,blocked,64,63.43283582089553,86.36363636363636,57.692307692307686,,"{1: 63.43283582089553, 2: 86.36363636363636, 3: 57.692307692307686, 4: nan}",0.4,0.5967961409385654,0.4725355609374888,0.7180539624471414,0.9937529464562734,
741,model_intermixed_hs_64_bs_12_beta_0.1_2_weights.pth,./trained_models_graphwalk,intermixed,64,71.64179104477611,75.0,65.38461538461539,,"{1: 71.64179104477611, 2: 75.0, 3: 65.38461538461539, 4: nan}",0.1,0.4569746238205021,0.4229230568598723,0.5475970703515817,0.4733516645672567,
742,model_intermixed_hs_128_bs_12_beta_0.7_23_weights.pth,./trained_models_graphwalk,intermixed,128,47.76119402985074,50.0,50.0,,"{1: 47.76119402985074, 2: 50.0, 3: 50.0, 4: nan}",0.7,-0.0018632339708732836,-0.035718293860554695,0.055626465515656906,0.06751756943189181,
743,model_intermixed_hs_256_bs_12_beta_0.8_12_weights.pth,./trained_models_graphwalk,intermixed,256,47.76119402985074,50.0,50.0,,"{1: 47.76119402985074, 2: 50.0, 3: 50.0, 4: nan}",0.8,-0.010818117796772659,-0.017780328169465065,0.0149201669476249,-0.0200997178371136,
744,model_intermixed_hs_128_bs_12_beta_1_16_weights.pth,./trained_models_graphwalk,intermixed,128,45.52238805970149,56.81818181818182,19.230769230769234,,"{1: 45.52238805970149, 2: 56.81818181818182, 3: 19.230769230769234, 4: nan}",1,-0.04868758936504741,-0.05015060989583125,-0.0697084379196167,0.07426550388336181,
745,model_blocked_hs_128_bs_12_beta_0.6_15_weights.pth,./trained_models_graphwalk,blocked,128,47.76119402985074,50.0,50.0,,"{1: 47.76119402985074, 2: 50.0, 3: 50.0, 4: nan}",0.6,-0.01775395508968469,-0.012119101360440254,-0.03082149949940768,-0.023380467524895303,
746,model_blocked_hs_256_bs_12_beta_0.9_24_weights.pth,./trained_models_graphwalk,blocked,256,47.76119402985074,50.0,50.0,,"{1: 47.76119402985074, 2: 50.0, 3: 50.0, 4: nan}",0.9,0.00038110487388842034,-0.006848336663097143,0.05610836771401492,-0.05833547390424288,
747,model_intermixed_hs_32_bs_12_beta_0.1_5_weights.pth,./trained_models_graphwalk,intermixed,32,60.447761194029844,72.72727272727273,26.923076923076923,,"{1: 60.447761194029844, 2: 72.72727272727273, 3: 26.923076923076923, 4: nan}",0.1,0.31648322970140724,0.3727233971779545,0.16823829989880323,0.3433952565704073,
748,model_intermixed_hs_32_bs_12_beta_0.9_22_weights.pth,./trained_models_graphwalk,intermixed,32,47.76119402985074,50.0,50.0,,"{1: 47.76119402985074, 2: 50.0, 3: 50.0, 4: nan}",0.9,0.032765816671378685,0.002555015205871314,0.12472045895728198,0.025880367710040167,
